Threads,Schedule,ChunkSize,FractalTime,FilterTime,HistAtomic,HistReduction,TotalTime,Speedup
16,dynamic,1,23.6295,1.48296,1.05789,0.0733625,25.11246,1.5030992582964793
16,dynamic,2,21.7547,1.55497,1.00066,0.0827273,23.30967,1.619350252491777
16,dynamic,4,20.3519,1.58435,1.12913,0.068094,21.93625,1.7207371360191466
16,dynamic,8,19.9021,1.45336,0.968803,0.0653055,21.35546,1.7675348599374587
16,dynamic,16,25.6643,1.63124,1.01351,0.0918664,27.295540000000003,1.3828823316922838
16,dynamic,32,28.2424,3.80554,1.27364,0.11284,32.04794,1.1778142370461255
16,dynamic,64,29.3851,1.90688,0.981057,0.0659325,31.291980000000002,1.2062681875675494
16,dynamic,128,25.6156,1.78619,1.12485,0.0753984,27.401790000000002,1.3775202276931544
16,guided,1,33.2964,6.2167,1.37207,0.115269,39.5131,0.9552912831440713
16,guided,2,39.4353,3.08758,1.17068,0.0810678,42.52288,0.8876755290328407
16,guided,4,30.4714,3.01631,1.385,0.0811651,33.48771,1.1271753129730282
16,guided,8,20.7517,1.5809,0.990993,0.0743591,22.3326,1.6901981856120651
16,guided,16,19.7389,1.38817,1.00599,0.0599615,21.12707,1.7866424449769895
16,guided,32,20.5593,1.66582,0.972562,0.0604685,22.22512,1.6983719323000281
16,guided,64,21.5039,1.46092,0.952514,0.0598505,22.964820000000003,1.6436671395639069
16,guided,128,19.894,1.95469,0.983317,0.0645148,21.848689999999998,1.727633098368827
